attribute,label
stuff,n
chicken,f
message,n
nachos,f
news,n
experience,o
surprise,n
seconds,n
breakfast,o
mustard,f
twist,n
ambience,d
girl,n
bar,s
vinaigrette,f
style,d
wish,n
baguette,f
food,f
pork,f
tickets,n
seeds,n
chips,f
wings,f
bunch,n
friends,n
host,s
culture,n
history,n
everything,o
cheeseburger,f
destination,n
sushi,f
impression,o
saturday,n
mayo,f
brand,n
mexican,n
chain,n
thai,f
standby,n
menu,f
items,n
books,n
comfort,f
ribs,f
wine,f
dog,n
visit,n
texture,n
t,n
art,d
words,n
call,n
aftertaste,n
mint,f
volume,n
burger,f
chocolate,f
kinda,n
pool,n
setting,d
strips,n
ambiance,d
legs,n
chance,n
contrast,n
criticism,n
crab,f
line,n
monday,n
version,n
buffet,f
floor,d
breath,n
delivery,n
check,n
issue,n
pub,o
acoustics,n
artists,n
gentleman,n
dj,n
direction,n
members,n
spoon,n
rolls,f
venue,o
batter,f
thing,n
juicy,n
companion,n
make,n
shit,n
downside,n
presentation,n
but,n
orange,f
variety,f
seafood,f
quality,f
shot,n
touch,n
brownie,f
adventure,n
candles,n
lunch,f
fish,f
head,n
mess,n
advertising,n
smoothies,f
break,n
mussels,f
windows,d
rating,o
start,n
stars,n
boyfriend,n
customer,s
coke,f
interior,d
booths,d
cents,n
omg,n
pros,n
charge,n
charm,n
package,n
corner,n
sangria,f
burger,o
rice,f
pot,n
environment,d
visitors,n
tonight,n
americans,n
peas,f
folks,n
behavior,n
someone,n
greens,f
neighborhood,o
mouth,n
yummy,n
soul,n
hole,n
vinegar,f
fault,n
lighting,d
wine,f
ass,n
heat,n
heaven,n
lemonade,f
trouble,n
chicken,f
gem,n
today,n
stand,n
hashbrowns,f
bread,f
restaurant,o
night,n
cream,f
establishment,o
cheese,f
adults,n
cool,n
chocolate,f
decision,n
music,d
portion,f
love,n
quality,o
view,d
gripe,n
street,n
condition,n
influence,n
ones,n
garden,n
age,n
face,n
yelp,n
beverages,f
cream,f
crust,f
waitstaff,s
onion,f
number,n
ownership,n
lack,n
milkshakes,f
pm,n
concern,n
money,n
pleasure,n
greasy,n
coffee,f
accent,n
sausage,f
bang,n
alcohol,f
house,n
taste,f
attention,n
frosting,f
rack,n
neighborhood,o
shop,n
color,n
tv,n
vodka,f
bargain,n
walls,d
workers,s
dough,f
fries,f
excuse,n
glance,n
task,n
fingers,n
business,o
design,n
opinion,n
drinks,f
warning,n
look,n
games,n
lamb,f
wontons,n
space,n
drive,n
crap,n
atmosphere,d
batch,n
cuisine,f
matter,n
sliders,n
parking,n
dumplings,f
sugar,f
basis,n
miso,f
strawberries,f
waitress,s
way,n
bbq,f
cornbread,f
pictures,d
potato,f
tunes,d
chocolate,f
kind,n
crab,f
town,n
rush,n
beats,n
enchiladas,f
order,n
treasure,n
club,n
vibe,d
people,n
manager,s
paper,n
custard,f
explanation,n
lunch,o
amount,n
miles,n
recipe,f
bananas,n
